"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333335,-2594456.29,50303.3633057714,0.986647401000397,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222223,-4804904.05333334,70874.2879186495,0.94802116388009,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,313474.817302074,0.710114304739087,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,395260.813377278,0.708777563510705,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,458625.479531729,0.714177496772995,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888891,-512153.516666674,396013.088647947,0.0443972556493004,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111112,-2505330.48666667,288792.844860051,0.229967189804434,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333335,-7931130.06000001,378502.256500875,0.351517231564603,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444444,-5910788.90933333,259162.544946347,0.217447361834162,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,127764.961305943,0.0648810714863555,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,344011.899492524,0.773534771624636,"LM_SR_AVG"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,563079.365521919,0.845317955591911,"LM_SR_AVG"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,693868.809919696,0.851409029950939,"LM_SR_AVG"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333331,-2594456.28999999,61648.1290436968,1,"LM_SR_AVG"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222224,-4804904.05333335,104041.365628253,0.984056266334509,"LM_SR_AVG"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444444,-5910788.90933334,177413.519560199,0.5851110851263,"LM_SR_AVG"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,44048.8999334364,0.32843969559517,"LM_SR_AVG"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888887,-512153.516666663,394307.610181852,1,"LM_SR_AVG"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111112,-2505330.48666668,199359.66958748,0.413117827935941,"LM_SR_AVG"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333333,-7931130.06,524211.729936846,0.687241045024214,"LM_SR_AVG"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333332,-2594456.29,NA,1,"LM_AR"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222226,-4804904.05333336,36951.2377070214,0.997875447936815,"LM_AR"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,562040.59383704,0.79210603065708,"LM_AR"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,532753.407928739,0.853055015979073,"LM_AR"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781683,"LM_AR"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888886,-512153.516666659,NA,1,"LM_AR"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111112,-2505330.48666667,142511.548243024,0.895667548929028,"LM_AR"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333333,-7931130.05999999,275188.628517065,0.836797686965234,"LM_AR"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444444,-5910788.90933333,274950.828199722,0.516858367056788,"LM_AR"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333332,-2594456.29,NA,1,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222226,-4804904.05333336,36951.2377070214,0.997875447936815,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,562040.59383704,0.79210603065708,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,532753.407928739,0.853055015979073,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781683,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888886,-512153.516666659,NA,1,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111112,-2505330.48666667,142511.548243024,0.895667548929028,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333333,-7931130.05999999,275188.628517065,0.836797686965234,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444444,-5910788.90933333,274950.828199722,0.516858367056788,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333343,-2594456.29000003,NA,1,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.34222222,-4804904.05333332,36951.2377070164,0.997875447936816,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345191,27151351.0354085,562040.593837042,0.792106030657079,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072636,532753.407928743,0.853055015979071,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,592213.7898153,0.857023779781684,"LM_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-170717.838888881,-512153.516666643,NA,1,"LM_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-417555.081111113,-2505330.48666668,142511.548243025,0.895667548929027,"LM_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-881236.673333336,-7931130.06000003,275188.628517064,0.836797686965236,"LM_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-492565.742444445,-5910788.90933334,274950.828199722,0.516858367056789,"LM_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204611111,-3230788.91066667,157644.980090405,0.154187299601142,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",2498155.18695652,28728784.65,440752.010924943,NA,"VPCL_SR_AVG"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",3477053.15724138,50417270.78,853995.250676154,NA,"VPCL_SR_AVG"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4327943.61555555,77902985.08,945883.919931389,NA,"VPCL_SR_AVG"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",0,0,0,NA,"VPCL_SR_AVG"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,0,NA,"VPCL_SR_AVG"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",1015920.39833333,5854157.78333333,698587.744329508,NA,"VPCL_SR_AVG"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",385767.590638889,6538166.31,127655.318227045,NA,"VPCL_SR_AVG"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",148969.438888889,446908.316666668,75199.0790095506,NA,"VPCL_SR_AVG"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",349680.171111112,1049040.51333333,126648.862430512,NA,"VPCL_SR_AVG"
